"","t1","t4","t5","t2","t3"
"228","1","0","0","0","0"
"229","0","0","0","0","0"
"230","1","0","0","1","0"
"231","0","0","1","1","0"
"232","1","1","1","1","1"
"233","1","0","1","1","1"
"234","0","1","0","1","1"
"235","1","1","1","1","1"
"236","0","1","1","1","1"
"237","0","1","1","1","1"
"238","1","1","1","0","1"
"239","0","1","1","1","1"
"240","0","1","1","1","1"
"241","1","1","1","1","1"
"242","1","1","0","0","0"
"243","0","1","1","1","1"
"244","0","1","0","1","1"
"245","1","0","1","0","1"
"246","0","0","0","0","0"
"247","1","1","1","1","1"
"248","0","0","1","0","0"
"249","1","0","0","1","0"
"250","0","1","1","1","1"
"251","0","0","1","1","1"
"252","1","0","0","0","0"
"253","1","1","0","1","0"
"254","1","0","0","0","0"
"255","0","1","0","0","0"
"256","1","1","0","1","0"
"257","0","0","0","0","1"
"258","1","1","0","1","0"
"259","1","1","1","1","1"
"260","0","0","0","0","0"
"261","0","1","0","0","1"
"262","0","0","0","0","0"
"263","0","1","1","1","1"
"264","1","0","0","0","0"
"265","0","0","0","1","0"
"266","0","1","1","0","1"
"267","0","0","1","1","1"
"268","0","1","0","0","0"
"269","1","0","1","0","1"
"270","1","1","1","1","1"
"271","1","1","0","0","0"
"272","0","1","1","1","1"
"273","1","0","1","1","0"
"274","1","0","0","0","0"
"275","0","1","1","1","1"
"276","0","1","1","1","1"
"277","1","1","0","0","1"
"278","0","0","0","1","1"
"279","1","1","0","0","0"
"280","1","1","1","1","0"
"281","1","1","1","1","1"
"282","1","0","1","0","0"
"283","1","0","1","1","0"
"284","1","1","0","0","1"
"285","0","0","0","0","0"
"286","1","0","0","0","0"
"287","1","0","0","1","1"
"288","0","0","1","0","1"
"289","1","1","0","0","0"
"290","0","0","0","0","0"
"291","0","1","1","1","1"
"292","0","1","0","1","0"
"293","0","0","0","1","0"
"294","0","1","0","1","1"
"295","1","0","1","1","1"
"296","0","1","1","0","0"
"297","0","1","1","1","1"
"298","1","0","0","1","1"
"299","0","1","1","0","0"
"300","1","0","1","1","1"
"301","1","0","0","1","0"
"302","1","1","0","0","1"
"303","1","1","1","1","0"
"304","1","1","0","1","1"
"305","0","1","1","1","1"
"306","1","1","1","0","0"
"307","1","1","1","1","1"
"308","1","1","1","1","1"
"309","1","1","1","1","0"
"310","1","0","0","0","0"
"311","0","1","1","0","0"
"312","0","0","0","0","0"
"313","0","1","1","1","1"
"314","0","1","1","1","1"
"315","0","0","1","1","0"
"316","1","1","1","1","1"
"317","1","1","1","1","0"
"318","1","0","0","0","1"
"319","0","1","0","1","0"
"320","0","1","1","1","0"
"321","0","0","1","0","0"
"322","1","0","1","1","1"
"323","1","0","0","1","1"
"324","0","0","0","0","0"
"325","1","0","0","1","1"
"326","0","0","0","0","0"
"327","0","1","0","0","0"
"328","1","1","0","0","0"
"329","0","0","0","0","0"
"330","1","0","1","0","0"
"331","1","1","0","0","0"
"332","1","1","1","1","1"
"333","1","1","1","1","0"
"334","1","1","1","1","1"
"335","1","1","1","1","1"
"336","0","1","1","1","0"
"337","0","0","1","1","1"
"338","1","1","1","1","1"
"339","1","0","0","1","0"
"340","0","1","1","0","1"
"341","0","1","0","1","1"
"342","0","0","0","0","0"
"343","1","1","1","1","1"
"344","0","1","1","1","1"
"345","0","1","1","0","1"
"346","1","0","1","1","1"
"347","1","1","1","1","1"
"348","0","0","1","0","0"
"349","0","0","0","0","0"
"350","1","1","0","1","0"
"351","1","1","1","0","0"
"352","0","1","1","1","0"
"353","1","1","1","1","1"
"354","1","0","0","0","1"
"355","1","1","0","0","0"
"356","1","1","0","0","1"
"357","1","0","1","1","1"
"358","1","0","0","1","1"
"359","1","0","0","0","1"
"360","1","1","0","0","0"
"361","0","1","0","0","1"
"362","0","1","1","1","1"
"363","1","1","1","0","1"
"364","0","0","0","0","0"
"365","1","0","0","1","1"
"366","0","0","1","0","1"
"367","0","0","0","1","0"
"368","1","1","1","1","1"
"369","0","0","1","1","1"
"370","0","0","0","0","0"
"371","1","0","0","1","1"
"372","0","1","1","1","1"
"373","0","0","1","0","0"
"374","1","0","1","0","1"
"375","1","1","0","0","0"
"376","0","0","0","0","1"
"377","0","0","1","1","1"
"378","0","1","0","0","0"
"379","1","1","1","1","1"
"380","0","1","1","1","1"
"381","1","0","0","1","0"
"382","0","1","1","1","1"
"383","0","1","1","1","1"
"384","0","0","0","1","0"
"385","1","0","0","0","0"
"386","0","0","0","1","1"
"387","0","1","1","1","1"
"388","0","1","1","1","1"
"389","1","0","1","1","0"
"390","0","1","1","0","1"
"391","1","0","0","1","0"
"392","1","1","1","1","1"
"393","0","1","0","1","0"
"394","0","1","0","1","0"
"395","1","0","0","1","1"
"396","0","1","1","1","1"
"397","1","0","0","0","0"
"398","0","0","1","1","1"
"399","0","0","0","0","1"
"400","1","1","0","1","1"
"401","1","1","1","0","0"
"402","1","1","1","1","1"
"403","1","0","0","0","1"
"404","1","0","1","0","1"
"405","1","1","0","1","0"
"406","1","0","0","1","1"
"407","0","0","0","0","0"
"408","1","0","0","1","0"
"409","0","1","0","0","1"
"410","1","0","1","0","0"
"411","1","1","1","1","1"
"412","1","1","0","0","0"
"413","0","1","0","1","0"
"414","1","1","0","1","0"
"415","1","1","0","0","1"
"416","1","1","0","1","1"
"417","0","1","1","0","0"
"418","0","0","0","0","1"
"419","0","0","0","0","1"
"420","0","1","1","1","1"
"421","0","0","0","1","0"
"422","1","1","1","1","1"
"423","0","0","0","0","0"
"424","0","1","0","0","0"
"425","1","1","0","1","0"
"426","1","1","1","1","1"
"427","0","0","1","0","0"
"428","0","0","0","0","0"
"429","1","0","1","1","1"
"430","0","0","0","0","0"
"431","1","1","1","1","1"
"432","1","1","1","1","1"
"433","1","1","1","1","1"
"434","1","0","0","0","1"
"435","0","1","1","0","0"
"436","1","0","1","1","0"
"437","0","0","0","0","1"
"438","0","1","1","1","1"
"439","1","0","0","0","1"
"440","1","0","1","1","1"
"441","1","1","1","0","0"
"442","0","0","1","0","1"
"443","1","0","1","1","1"
"444","1","0","1","0","0"
"445","1","0","0","0","0"
"446","1","0","0","1","1"
"447","0","1","1","0","0"
"448","0","0","1","1","1"
"449","0","1","1","1","1"
"450","0","1","1","1","1"
"451","0","0","1","1","1"
"452","0","1","0","1","0"
"453","0","1","1","1","1"
"454","1","1","1","1","0"
"455","0","1","1","1","1"
"456","1","0","1","0","0"
"457","1","1","0","0","1"
"458","0","0","0","0","1"
"459","0","1","0","1","0"
"460","1","0","1","0","0"
"461","1","1","1","1","1"
"462","1","1","1","1","1"
"463","1","1","0","0","0"
"464","1","0","1","1","1"
"465","0","0","0","1","1"
"466","1","1","1","1","0"
"467","1","1","1","0","0"
"468","1","0","1","0","0"
"469","1","1","0","1","0"
"470","1","1","1","1","1"
"471","1","0","1","0","0"
"472","1","1","1","1","1"
"473","0","1","1","0","1"
"474","1","1","0","0","1"
"475","0","0","0","1","1"
"476","0","1","1","1","1"
"477","1","1","0","1","0"
"478","1","0","0","0","1"
"479","0","0","1","1","1"
"480","1","0","1","1","0"
"481","1","1","0","0","0"
"482","0","1","1","1","1"
"483","0","0","0","0","1"
"484","1","0","0","0","0"
"485","0","1","0","0","1"
"486","1","0","1","0","0"
"487","0","1","1","1","1"
"488","1","1","1","1","1"
"489","1","0","0","0","0"
"490","0","0","0","0","0"
"491","0","1","1","1","1"
"492","0","0","0","0","0"
"493","0","0","0","1","1"
"494","1","1","1","1","1"
"495","1","1","1","1","1"
"496","1","0","1","1","1"
"497","0","0","1","1","1"
"498","0","0","1","1","0"
"499","0","1","0","1","0"
"500","1","0","0","0","0"
"501","1","0","1","1","1"
"502","0","1","0","0","1"
"503","1","0","0","1","1"
"504","1","1","0","0","1"
"505","0","0","1","1","1"
"506","0","0","1","0","0"
"507","0","1","1","1","1"
"508","1","1","1","1","1"
"509","1","1","1","1","1"
"510","0","1","0","0","0"
"511","0","1","1","1","1"
"512","0","1","0","0","0"
"513","0","1","1","1","1"
"514","0","1","0","1","0"
"515","0","0","0","0","0"
"516","0","1","1","1","1"
"517","0","0","0","0","1"
"518","1","0","1","1","1"
"519","1","0","1","0","0"
"520","1","1","1","1","1"
"521","0","1","1","1","1"
"522","1","0","1","0","1"
"523","1","1","1","1","1"
"524","0","0","0","1","1"
"525","1","1","1","1","1"
"526","1","1","1","1","1"
"527","1","1","1","1","0"
"528","1","1","0","1","0"
"529","0","0","1","1","1"
"530","0","1","1","1","1"
"531","0","0","0","0","1"
"532","1","1","1","0","0"
"533","0","0","0","0","1"
"534","0","0","1","0","0"
"535","1","1","1","1","1"
"536","1","0","1","1","0"
"537","1","1","1","1","0"
"538","0","0","1","1","1"
"539","0","0","1","1","0"
"540","0","1","1","0","0"
"541","0","0","0","1","1"
"542","0","0","0","1","0"
"543","1","1","1","0","0"
"544","1","1","0","0","0"
"545","1","1","1","1","1"
"546","0","1","1","1","1"
"547","0","1","1","1","1"
"548","1","0","0","0","0"
"549","1","1","1","1","1"
"550","1","0","0","0","0"
"551","1","0","0","1","0"
"552","1","0","0","0","0"
"553","1","0","1","1","1"
"554","1","1","0","1","0"
"555","0","1","1","1","1"
"556","0","0","1","0","0"
"557","0","1","1","1","1"
"558","1","0","0","1","0"
"559","0","1","1","1","1"
"560","0","0","0","0","0"
"561","1","0","0","0","0"
"562","0","1","0","0","0"
"563","0","0","0","0","0"
"564","0","1","1","0","1"
"565","0","1","1","1","1"
"566","1","0","1","1","1"
"567","1","1","0","1","1"
"568","0","0","1","1","1"
"569","0","0","0","0","0"
"570","0","1","1","0","1"
"571","1","1","1","1","1"
"572","1","0","1","0","1"
"573","1","0","0","1","1"
"574","1","1","1","1","1"
"575","0","0","1","0","1"
